age,favorite_influencer,preferred_color,shopping_frequency,instagram_hours,tiktok_hours,budget_range,preferred_store,fashion_style
22,zendaya,black,3,1.7,2.1,100,zara,minimal
20,none,brown,6,2.5,1.1,21,urban_outfitters,vintage
20,none,brown,3,3.8,0.7,108,thrift_stores,vintage
18,none,white,1,1.5,3.8,110,zara,athleisure
17,rihanna,black,7,5.3,3.4,151,adidas,athleisure
18,bella_hadid,blue,6,4.8,1.1,31,forever21,y2k
17,none,white,7,1.6,1.2,43,asos,y2k
24,none,white,2,7.8,2.6,140,asos,y2k
24,rihanna,black,4,3.1,0.5,68,zara,athleisure
18,none,white,2,1.8,3.5,34,asos,y2k
23,rihanna,white,3,5.1,1.5,121,adidas,athleisure
18,rihanna,blue,7,6.4,2.2,60,zara,athleisure
24,zendaya,white,7,4.3,2.5,258,zara,minimal
19,bella_hadid,purple,5,1.5,1.5,72,shein,y2k
21,style_blogger,beige,4,2.3,3.6,213,hm,minimal
25,billie_eilish,green,6,1.0,1.7,178,urban_outfitters,streetwear
18,harry_styles,white,7,2.2,1.3,100,urban_outfitters,streetwear
23,emma_chamberlain,brown,7,4.5,1.6,131,zara,minimal
16,bella_hadid,white,5,3.4,2.7,121,shein,y2k
17,style_blogger,red,3,2.7,3.3,87,thrift_stores,vintage
20,none,red,4,4.6,2.9,35,asos,vintage
18,none,brown,4,5.5,1.1,86,asos,vintage
16,none,green,1,2.5,2.4,70,adidas,athleisure
25,none,green,1,1.7,3.6,119,nike,athleisure
20,zendaya,beige,3,7.0,1.9,226,urban_outfitters,minimal
16,zendaya,beige,6,1.1,0.9,245,asos,minimal
18,bella_hadid,purple,5,2.6,3.0,95,urban_outfitters,y2k
16,rihanna,white,1,3.2,2.4,195,hm,athleisure
18,emma_chamberlain,white,3,4.0,1.7,188,hm,minimal
16,style_blogger,brown,4,1.2,2.8,80,thrift_stores,vintage
16,dua_lipa,pink,1,7.7,1.7,35,forever21,y2k
20,none,brown,1,3.2,1.1,104,thrift_stores,vintage
24,none,green,7,7.9,1.0,233,nike,athleisure
25,none,black,7,3.1,3.3,122,urban_outfitters,minimal
18,harry_styles,black,5,2.4,0.7,184,adidas,streetwear
18,bella_hadid,black,2,4.8,1.5,145,adidas,athleisure
25,emma_chamberlain,beige,4,3.3,3.4,94,hm,minimal
20,none,black,7,2.0,1.0,153,adidas,athleisure
17,style_blogger,yellow,2,1.5,0.6,82,thrift_stores,vintage
20,billie_eilish,white,1,4.1,1.3,178,urban_outfitters,streetwear
21,style_blogger,beige,7,4.0,3.1,95,asos,minimal
18,billie_eilish,red,5,1.7,1.6,78,urban_outfitters,streetwear
19,asap_rocky,red,1,4.3,2.8,134,nike,streetwear
25,none,brown,3,4.5,3.5,114,thrift_stores,vintage
20,none,yellow,3,6.6,2.9,21,thrift_stores,vintage
18,style_blogger,white,1,7.7,3.7,180,asos,minimal
17,harry_styles,black,2,5.8,1.7,139,nike,streetwear
18,asap_rocky,white,4,3.9,3.9,124,shein,streetwear
19,none,red,2,2.8,2.5,148,nike,streetwear
22,none,white,3,1.7,3.7,92,urban_outfitters,minimal
19,dua_lipa,white,5,7.3,0.8,78,shein,y2k
22,emma_chamberlain,purple,5,3.1,1.7,140,shein,y2k
20,none,black,2,1.4,2.4,188,urban_outfitters,minimal
20,style_blogger,black,2,5.3,0.9,155,asos,minimal
22,rihanna,white,5,4.6,1.3,86,zara,athleisure
23,bella_hadid,green,4,3.5,3.0,130,hm,athleisure
18,emma_chamberlain,purple,6,4.4,0.5,119,forever21,y2k
25,none,brown,5,2.7,1.9,246,urban_outfitters,minimal
16,harry_styles,white,5,1.3,3.6,107,urban_outfitters,streetwear
21,none,beige,2,2.2,1.3,226,urban_outfitters,minimal
16,style_blogger,brown,2,7.7,3.6,264,urban_outfitters,minimal
23,style_blogger,brown,4,5.1,0.8,109,thrift_stores,vintage
24,bella_hadid,black,5,5.8,1.1,220,adidas,athleisure
18,none,white,2,7.5,3.5,76,asos,y2k
20,billie_eilish,red,7,3.8,3.4,60,adidas,streetwear
16,dua_lipa,purple,7,7.1,3.3,30,shein,y2k
20,emma_chamberlain,white,3,2.7,2.1,66,asos,y2k
16,emma_chamberlain,pink,2,3.5,0.9,142,asos,y2k
25,bella_hadid,green,6,7.8,0.8,109,hm,athleisure
24,style_blogger,beige,3,2.5,1.0,104,urban_outfitters,vintage
17,none,white,2,3.4,2.3,150,nike,athleisure
23,emma_chamberlain,white,4,4.2,3.4,160,urban_outfitters,minimal
16,billie_eilish,green,6,5.4,1.3,102,nike,streetwear
18,style_blogger,red,4,2.3,1.7,94,thrift_stores,vintage
18,emma_chamberlain,white,3,6.8,1.7,90,shein,y2k
25,asap_rocky,black,2,1.9,1.7,61,urban_outfitters,streetwear
24,billie_eilish,white,7,3.6,0.5,105,shein,streetwear
19,none,pink,6,2.7,3.2,108,urban_outfitters,y2k
23,zendaya,beige,7,6.9,3.1,194,urban_outfitters,minimal
17,none,black,2,4.9,3.4,178,adidas,athleisure
21,rihanna,green,3,5.5,2.2,84,zara,athleisure
19,none,yellow,5,3.5,2.8,102,thrift_stores,vintage
17,billie_eilish,black,6,2.6,1.8,170,urban_outfitters,streetwear
19,bella_hadid,white,7,1.4,0.6,53,asos,y2k
20,bella_hadid,purple,7,6.7,1.4,121,asos,y2k
23,none,black,3,6.9,1.2,282,asos,minimal
25,bella_hadid,white,1,5.3,1.5,172,adidas,athleisure
20,none,beige,2,4.2,2.4,22,thrift_stores,vintage
25,dua_lipa,white,1,6.3,2.6,94,shein,y2k
23,none,brown,4,3.9,3.8,88,asos,vintage
24,bella_hadid,green,5,2.0,3.3,123,adidas,athleisure
18,none,white,5,5.1,2.9,111,nike,streetwear
23,bella_hadid,white,7,4.5,1.3,225,adidas,athleisure
16,none,black,3,4.0,1.7,163,zara,athleisure
18,rihanna,blue,6,7.3,3.3,216,adidas,athleisure
21,none,black,6,6.0,2.2,112,zara,minimal
25,none,black,7,6.6,1.0,168,nike,athleisure
19,none,blue,2,2.8,1.7,144,urban_outfitters,y2k
25,rihanna,white,4,7.4,1.0,149,hm,athleisure
17,zendaya,brown,4,6.5,0.6,283,zara,minimal
25,emma_chamberlain,beige,1,7.5,2.1,130,urban_outfitters,minimal
20,none,pink,6,4.6,2.6,86,forever21,y2k
20,none,black,1,1.8,2.0,116,nike,athleisure
25,emma_chamberlain,white,3,1.2,3.7,241,urban_outfitters,minimal
